2019-10-03 08:38:39.964 [main] WARN  c.b.mybatisplus.core.injector.AbstractMethod - [com.boc.horoscope.horos.mapper.HsFiveElementRelationMapper.insert] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.Insert]
2019-10-03 08:38:40.077 [main] WARN  c.b.mybatisplus.core.injector.AbstractMethod - [com.boc.horoscope.horos.mapper.HsPersonHoroscopeRecdMapper.insert] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.Insert]
2019-10-03 08:38:41.351 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration$JpaWebMvcConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2019-10-03 13:17:55.888 [main] WARN  c.b.mybatisplus.core.metadata.TableInfoHelper - Warn: Could not find @TableId in Class: com.boc.horoscope.horos.po.CnRegionInfo.
2019-10-03 13:17:55.902 [main] WARN  c.b.mybatisplus.core.injector.AbstractMethod - [com.boc.horoscope.horos.mapper.CnRegionInfoMapper.insert] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.Insert]
2019-10-03 13:17:56.012 [main] WARN  c.b.mybatisplus.core.injector.AbstractMethod - [com.boc.horoscope.horos.mapper.CnSolarTermMapper.insert] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.Insert]
2019-10-03 13:17:56.144 [main] WARN  c.b.mybatisplus.core.metadata.TableInfoHelper - Warn: Could not find @TableId in Class: com.boc.horoscope.horos.po.HsFiveElementRelation.
2019-10-03 13:17:56.151 [main] WARN  c.b.mybatisplus.core.injector.AbstractMethod - [com.boc.horoscope.horos.mapper.HsFiveElementRelationMapper.insert] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.Insert]
2019-10-03 13:17:56.268 [main] WARN  c.b.mybatisplus.core.injector.AbstractMethod - [com.boc.horoscope.horos.mapper.HsPersonHoroscopeRecdMapper.insert] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.Insert]
2019-10-03 13:17:57.973 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration$JpaWebMvcConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2019-10-03 13:27:05.456 [main] WARN  c.b.mybatisplus.core.metadata.TableInfoHelper - Warn: Could not find @TableId in Class: com.boc.horoscope.horos.po.CnRegionInfo.
2019-10-03 13:27:05.465 [main] WARN  c.b.mybatisplus.core.injector.AbstractMethod - [com.boc.horoscope.horos.mapper.CnRegionInfoMapper.insert] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.Insert]
2019-10-03 13:27:05.552 [main] WARN  c.b.mybatisplus.core.injector.AbstractMethod - [com.boc.horoscope.horos.mapper.CnSolarTermMapper.insert] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.Insert]
2019-10-03 13:27:05.710 [main] WARN  c.b.mybatisplus.core.metadata.TableInfoHelper - Warn: Could not find @TableId in Class: com.boc.horoscope.horos.po.HsFiveElementRelation.
2019-10-03 13:27:05.718 [main] WARN  c.b.mybatisplus.core.injector.AbstractMethod - [com.boc.horoscope.horos.mapper.HsFiveElementRelationMapper.insert] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.Insert]
2019-10-03 13:27:05.906 [main] WARN  c.b.mybatisplus.core.injector.AbstractMethod - [com.boc.horoscope.horos.mapper.HsPersonHoroscopeRecdMapper.insert] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.Insert]
2019-10-03 13:27:07.620 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration$JpaWebMvcConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
