2019-10-02 19:28:55.710 [main] WARN  c.b.mybatisplus.core.metadata.TableInfoHelper - Warn: Could not find @TableId in Class: com.boc.horoscope.horos.po.CnRegionInfo.
2019-10-02 19:28:55.734 [main] WARN  c.b.mybatisplus.core.injector.AbstractMethod - [com.boc.horoscope.horos.mapper.CnRegionInfoMapper.insert] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.Insert]
2019-10-02 19:28:55.939 [main] WARN  c.b.mybatisplus.core.injector.AbstractMethod - [com.boc.horoscope.horos.mapper.CnSolarTermMapper.insert] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.Insert]
2019-10-02 19:28:56.122 [main] WARN  c.b.mybatisplus.core.metadata.TableInfoHelper - Warn: Could not find @TableId in Class: com.boc.horoscope.horos.po.HsFiveElementRelation.
2019-10-02 19:28:56.125 [main] WARN  c.b.mybatisplus.core.injector.AbstractMethod - [com.boc.horoscope.horos.mapper.HsFiveElementRelationMapper.insert] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.Insert]
2019-10-02 19:28:56.382 [main] WARN  c.b.mybatisplus.core.injector.AbstractMethod - [com.boc.horoscope.horos.mapper.HsPersonHoroscopeRecdMapper.insert] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.Insert]
2019-10-02 19:28:58.547 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration$JpaWebMvcConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2019-10-02 20:22:23.060 [main] WARN  c.b.mybatisplus.core.metadata.TableInfoHelper - Warn: Could not find @TableId in Class: com.boc.horoscope.horos.po.CnRegionInfo.
2019-10-02 20:22:23.073 [main] WARN  c.b.mybatisplus.core.injector.AbstractMethod - [com.boc.horoscope.horos.mapper.CnRegionInfoMapper.insert] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.Insert]
2019-10-02 20:22:23.179 [main] WARN  c.b.mybatisplus.core.injector.AbstractMethod - [com.boc.horoscope.horos.mapper.CnSolarTermMapper.insert] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.Insert]
2019-10-02 20:22:23.327 [main] WARN  c.b.mybatisplus.core.metadata.TableInfoHelper - Warn: Could not find @TableId in Class: com.boc.horoscope.horos.po.HsFiveElementRelation.
